"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"Streptococcus equi"	"S"	1336	0.02121	NA	0.02121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus sp. Z15"	"S"	2173853	0.04595	NA	0.04595	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus anginosus"	"S"	1328	62.83	NA	0.02474	0.07215	0.009653	NA	0.1081	0.7782	62.83	0.01068	NA	NA	0.4779	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4026	NA	NA	NA	0.01034	NA	NA	NA	NA	0.4881	1.475	0.06608	0.05731	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus sp. I-P16"	"S"	1156433	0.08811	NA	0.01767	NA	NA	NA	0.01201	NA	0.02817	NA	NA	NA	0.02987	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02351	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	0.08811	0.08596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus thermophilus"	"S"	1308	6.01	NA	0.01414	NA	NA	NA	0.5085	NA	0.1859	0.02137	NA	NA	0.5476	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.8963	NA	NA	0.01653	0.2068	0.08478	NA	NA	0.2994	6.01	2.95	0.5286	0.3152	0.03042	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus infantarius"	"S"	102684	4.431	NA	0.01414	1.227	NA	NA	1.942	0.3891	1.898	0.9081	NA	NA	4.431	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.791	0.02822	NA	0.1323	0.1499	0.2543	0.3048	1.506	0.2994	3.722	4.13	2.731	2.063	0.2535	NA	NA	NA	NA	0.0291	NA	NA	NA	NA	NA	NA	NA	0.3305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parauberis"	"S"	1348	0.1475	NA	0.01414	NA	NA	NA	0.1121	NA	0.07323	NA	NA	NA	0.09956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08228	NA	NA	NA	NA	NA	NA	0.1004	NA	0.03051	0.1475	0.04405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ferus"	"S"	1345	0.07215	NA	0.0106	0.07215	NA	NA	NA	NA	0.03943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06759	NA	NA	NA	NA	NA	NA	NA	NA	0.06101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gordonii"	"S"	1302	0.06969	NA	0.003534	NA	NA	NA	NA	NA	0.0169	NA	NA	NA	0.06969	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01763	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halotolerans"	"S"	1814128	0.02203	NA	0.003534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus salivarius"	"S"	1304	0.5796	NA	0.003534	NA	NA	NA	0.008007	NA	0.02253	NA	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01763	NA	NA	0.01653	0.00517	0.007707	0.008467	NA	NA	0.5796	NA	NA	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus iniae"	"S"	1346	0.4271	NA	0.003534	NA	NA	NA	0.008007	NA	0.01127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002939	NA	NA	NA	NA	NA	NA	0.1004	NA	0.4271	0.07375	0.02203	0.05731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Lactococcus lactis"	"S"	1358	0.295	NA	0.06362	0.07215	NA	NA	0.1882	NA	0.1972	0.08547	NA	NA	0.1593	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0911	NA	NA	0.03307	0.0517	0.01541	0.01693	NA	NA	0.09152	0.295	0.08811	0.1146	0.02028	0.01364	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Lactococcus"
"Lactococcus piscium"	"S"	1364	0.05633	NA	0.003534	NA	NA	NA	NA	NA	0.05633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Lactococcus"
"Lactobacillus delbrueckii"	"S"	1584	1.719	NA	0.1414	1.154	NA	NA	0.1922	NA	0.3549	0.8333	NA	NA	0.08961	0.1191	NA	NA	NA	NA	0.1004	0.02598	NA	NA	0.3791	0.02822	NA	0.5952	0.9823	0.894	1.719	0.1004	NA	0.4881	0.9587	0.4626	0.745	1.095	0.2318	NA	NA	NA	0.06789	NA	NA	NA	NA	NA	NA	0.1512	1.206	NA	0.1261	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus salivarius"	"S"	1624	2.237	NA	0.06715	2.237	NA	NA	0.02402	NA	0.04507	0.7158	NA	NA	0.04978	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.05289	NA	NA	0.01653	0.02068	0.02312	0.127	NA	0.2994	0.3966	0.295	0.06608	0.2865	0.3651	0.01364	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	0.314	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus sakei"	"S"	1599	0.2165	NA	0.02121	0.2165	NA	NA	0.02002	NA	0.02253	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0382	NA	0.0692	0.01653	0.01551	0.04624	NA	NA	NA	0.09152	NA	NA	0.05731	0.03042	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus murinus"	"S"	1622	0.2886	NA	0.01414	0.2886	NA	NA	0.04404	NA	0.09576	0.05342	NA	NA	0.03982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05877	NA	NA	0.0496	0.03102	0.007707	0.01693	NA	NA	0.06101	0.1475	0.04405	0.02865	0.03042	NA	NA	NA	NA	0.005819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Aerococcaceae bacterium ZY16052"	"S"	2036206	0.06008	NA	0.06008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae>unclassified&nbsp;Aerococcaceae"
"Carnobacterium maltaromaticum"	"S"	2751	0.09921	NA	0.03534	0.07215	NA	NA	0.02002	NA	0.03943	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	0.09921	0.00517	0.02312	0.008467	NA	NA	0.06101	0.07375	0.02203	NA	0.03042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Carnobacterium"
"Marinilactibacillus sp. 15R"	"S"	1911586	0.07215	NA	0.003534	0.07215	NA	NA	NA	NA	0.0169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Marinilactibacillus"
"Jeotgalibaca dankookensis"	"S"	708126	0.003534	NA	0.003534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae>Jeotgalibaca"
"Weissella cibaria"	"S"	137591	0.2886	NA	0.03888	0.2886	NA	NA	0.03603	NA	0.0676	0.09615	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09403	NA	NA	NA	NA	NA	NA	0.1004	NA	0.06101	NA	NA	0.05731	0.03042	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae>Weissella"
"Enterococcus faecalis"	"S"	1351	58.73	NA	0.02121	58.73	0.009653	NA	0.06406	NA	0.1296	31.28	NA	0.01515	0.01991	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	0.1557	NA	NA	0.08267	0.03102	0.04624	0.0508	0.1004	NA	0.06101	0.2212	0.04405	NA	5.912	NA	NA	NA	NA	0.005819	NA	NA	NA	NA	NA	NA	NA	6.577	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Enterococcus faecium"	"S"	1352	0.4329	NA	0.003534	0.4329	NA	NA	0.03203	NA	0.02817	0.1496	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02939	NA	NA	NA	NA	0.007707	NA	NA	NA	0.2135	NA	NA	NA	0.04056	NA	NA	NA	NA	0.005819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Enterococcus cecorum"	"S"	44008	0.2746	NA	0.003534	NA	NA	NA	0.008007	NA	0.0169	0.08547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	NA	0.01034	NA	NA	NA	NA	0.2746	0.2212	0.1101	0.1433	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Bacillus cereus"	"S"	1396	1.704	NA	0.622	1.299	NA	NA	0.3683	0.3891	1.679	0.7051	NA	NA	0.8264	NA	NA	NA	0.02114	NA	0.502	0.00433	NA	0.006455	0.9374	NA	NA	0.2646	0.3257	0.4239	0.3979	1.205	NA	1.281	0.7375	0.837	0.7736	1.704	0.09545	NA	NA	NA	0.04074	NA	NA	NA	NA	NA	NA	NA	1.306	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus thuringiensis"	"S"	1428	4.348	NA	0.08836	0.5772	NA	NA	0.4484	0.3891	0.7548	0.5662	NA	NA	0.3286	NA	NA	NA	NA	NA	0.2008	NA	NA	0.006455	0.4055	NA	NA	0.4299	0.3412	0.3391	0.4064	0.7028	NA	0.5186	0.07375	0.5947	0.4585	1.247	0.15	0.02631	4.348	NA	0.01746	NA	NA	NA	NA	NA	NA	NA	0.8924	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus anthracis"	"S"	1392	1.333	NA	0.07776	1.01	NA	NA	0.1041	NA	0.2704	0.5983	NA	NA	0.1294	NA	NA	NA	NA	NA	0.8534	NA	NA	0.01291	0.2733	NA	NA	0.1488	0.2171	0.2235	0.1778	0.1004	NA	0.2135	0.07375	0.2423	0.1433	0.6794	0.04091	NA	NA	NA	0.01164	NA	NA	1.333	NA	NA	NA	NA	0.7272	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
